"Click here for more details","Click here for more details"
"Catalog Product Block","Catalog Product Block"
"Block with product information","Block with product information",
"Display Image","Display Image"
"Image Width (px)","Image Width (px)"
"Display Reviews","Display Reviews"
"Display Price","Display Price"
"Display Description","Display Description"
"Description Product Attribute Code","Description Product Attribute Code"
"Description Custom Text","Description Custom Text"
"Display Read More Lin","Display Read More Lin"
"Read More Link Text","Read More Link Text"
"Custom Template","Custom Template"
