"Back","Back"
"Are you sure you wan\\'t to delete this record?","Are you sure you wan\\'t to delete this record?"
"Delete","Delete"
"Save","Save"
"Save And Continue","Save And Continue"
"Rating","Rating"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Image","Image"
"Video","Video"
"Serves","Serves"
"Recipe not found.","Recipe not found."
"This entity no longer exists.","This entity no longer exists."
"You deleted the entity.","You deleted the entity."
"Something went wrong while deleting the entity.","Something went wrong while deleting the entity."
"Edit Filter Id: %1","Edit Filter Id: %1"
"New Filter","New Filter"
"Invalid filer data.","Invalid filer data."
"You saved the filter.","You saved the filter."
"Something went wrong while saving field.","Something went wrong while saving field."
"1 record have been deleted.","1 record have been deleted."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"Edit Recipe: %1","Edit Recipe: %1"
"New Recipe","New Recipe"
"Recipes Filter","Recipes Filter"
"Manage Recipes","Manage Recipes"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You saved the recipe.","You saved the recipe."
"Something went wrong while saving recipe.","Something went wrong while saving recipe."
"Writer","Writer"
"Edit Review","Edit Review"
"Manage Recipe Reviews","Manage Recipe Reviews"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Recipes","Recipes"
"The review has been saved.","The review has been saved."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"Something went wrong while adding products to cart.","Something went wrong while adding products to cart."
"Cannot initialize recipe.","Cannot initialize recipe."
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"Choose","Choose"
"Assigned Products","Assigned Products"
"Remove","Remove"
"Quantity","Quantity"
"Cancel","Cancel"
"Add Assigned Products","Add Assigned Products"
"Assigned products are shown to customers in addition to the item the customer is looking at.","Assigned products are shown to customers in addition to the item the customer is looking at."
"Recipe","Recipe"
" by"," by"
"Your feedback for ","Your feedback for "
