Configure,Configure
Close,Close
"Card Number","Card Number"
"Card Type","Card Type"
"Transaction ID","Transaction ID"
"AVS Response","AVS Response"
"CVV Response","CVV Response"
N/A,N/A
"Credit Card Type","Credit Card Type"
"Credit Card Number","Credit Card Number"
"Authorization Code","Authorization Code"
"No token found.","No token found."
"Wrong request.","Wrong request."
"Deletion failure. Please try again.","Deletion failure. Please try again."
"Error while deleting this payment ID to Authorize.net server. Please try again.","Error while deleting this payment ID to Authorize.net server. Please try again."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"transactionResponse' 'errors' 'error' 'errorText","transactionResponse' 'errors' 'error' 'errorText"
"messages' 'message' 'text","messages' 'message' 'text"
"TEST BY VISH","TEST BY VISH"
"reCAPTCHA verification failed.","reCAPTCHA verification failed."
"You cannot proceed with such operation, your reCAPTCHA reputation is too low.","You cannot proceed with such operation, your reCAPTCHA reputation is too low."
"Under Title (Default)","Under Title (Default)"
"Beside Title","Beside Title"
"Error: Invalid amount for capture.","Error: Invalid amount for capture."
"Error Processing the request. No response data found from the authorize.net server","Error Processing the request. No response data found from the authorize.net server"
"Error Processing the request.","Error Processing the request."
"There is an error in payment processing, please try again.","There is an error in payment processing, please try again."
"Not able to find transaction ID for refund request.","Not able to find transaction ID for refund request."
"Error in void the payment.","Error in void the payment."
"Credit Card last 4 digits are missing, it require for refund request.","Credit Card last 4 digits are missing, it require for refund request."
"No data found in the transaction response.","No data found in the transaction response."
"Curl failed with the error.","Curl failed with the error."
". "" >> "" .",". "" >> "" ."
". "" >> "" . 'messages' 'resultCode' 'messages' 'message' 'code' 'messages' 'message' 'text'",". "" >> "" . 'messages' 'resultCode' 'messages' 'message' 'code' 'messages' 'message' 'text'"
Disabled,Disabled
"reCAPTCHA v3 Invisible (Recommended)","reCAPTCHA v3 Invisible (Recommended)"
"Authorize Only","Authorize Only"
"Authorize and Capture (Sale)","Authorize and Capture (Sale)"
"Test Mode","Test Mode"
"Live Mode","Live Mode"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"Save for later use.","Save for later use."
ending,ending
expires,expires
"Credit Card Typetttt","Credit Card Typetttt"
"--Please Select--","--Please Select--"
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"What is this?","What is this?"
Type,Type
Actions,Actions
Delete,Delete
"Apple Pay By Rootways","Apple Pay By Rootways"
"Place Order","Place Order"
"Pay Now","Pay Now"
"Error processing your order, Error: ","Error processing your order, Error: "
"There are no shipping methods available for you right now. Please try again or use an alternative payment method.","There are no shipping methods available for you right now. Please try again or use an alternative payment method."
Shipping,Shipping
"We're unable to fetch the cart totals for you. Please try an alternative payment method.","We're unable to fetch the cart totals for you. Please try an alternative payment method."
"We're unable to find any shipping methods for you. Please try an alternative payment method.","We're unable to find any shipping methods for you. Please try an alternative payment method."
Total,Total
Tax,Tax
"Pay with Apple Pay","Pay with Apple Pay"
"We're unable to take payments through Apple Pay at the moment. Please try an alternative payment method.","We're unable to take payments through Apple Pay at the moment. Please try an alternative payment method."
"Unable to place order","Unable to place order"
Store,Store
Error,Error
"Rootways Extensions","Rootways Extensions"
"Authorize.net Payment","Authorize.net Payment"
Settings,Settings
Status:,Status:
"License Key","License Key"
"Is Multi Store","Is Multi Store"
"Payment Module for Authorize.net (by <a href=""https://www.rootways.com"" target=""_blank"">Rootways Inc.</a>)","Payment Module for Authorize.net (by <a href=""https://www.rootways.com"" target=""_blank"">Rootways Inc.</a>)"
"Basic Authorize.net Settings.","Basic Authorize.net Settings."
"API Authentication Status:","API Authentication Status:"
Environment,Environment
"API Login ID","API Login ID"
"Transaction Key","Transaction Key"
"Client Key","Client Key"
"Gateway URL","Gateway URL"
Debug,Debug
"Authorize.net CIM (Customer Information Manager) Settings.","Authorize.net CIM (Customer Information Manager) Settings."
Enable,Enable
Title,Title
"Enable Accept.js","Enable Accept.js"
"Vault Enabled (Save Credit Card)","Vault Enabled (Save Credit Card)"
"Credit Card Types","Credit Card Types"
"Credit Card Logo Location","Credit Card Logo Location"
"Payment Action","Payment Action"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Message in Checkout Page","Message in Checkout Page"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"API Request Parameter Settings","API Request Parameter Settings"
